time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-07-27T04:52:50.487Z,44.6505,-74.5534,5,2.5,mb_lg,25,55,0.037,0.46,us,us6000i5tm,2022-10-01T22:09:22.040Z,"2 km SSW of Saint Regis Falls, New York",earthquake,1.8,1.976,0.085,36,reviewed,us,us
2022-05-10T14:12:14.925Z,45.3264,-76.2178,10.92,2.5,mb_lg,17,138,0.741,0.43,us,us7000h8by,2022-07-22T18:31:11.040Z,"southern Ontario, Canada",earthquake,1.5,8.5,0.18,8,reviewed,us,us
2022-04-23T21:02:56.051Z,45.2228,-69.1376,4.99,2.5,mb_lg,13,97,0.116,0.2,us,us6000hfx6,2022-07-05T03:39:49.040Z,"5 km SSW of Sebec, Maine",earthquake,1.4,3.4,0.193,7,reviewed,us,us
2022-04-16T02:10:49.855Z,44.0163,-67.67,10,2.6,ml,,192,0.707,0.32,us,us7000h2lz,2022-06-26T01:18:18.040Z,"53 km SE of Winter Harbor, Maine",earthquake,3,2,0.061,35,reviewed,us,us
2022-03-15T15:11:29.142Z,42.6923,-78.1505,5,2.6,mb_lg,,49,0.522,0.31,us,us6000h4qr,2022-06-09T01:31:02.645Z,"5 km SSW of Warsaw, New York",earthquake,1.9,2,0.089,33,reviewed,us,us
2022-02-19T22:43:05.749Z,47.5045,-70.0662,16.7,2.9,ml,,101,0.181,0.3,us,us7000gmcv,2022-05-04T13:38:43.040Z,"14 km NW of Saint-Pacôme, Canada",earthquake,3.5,3.3,0.064,32,reviewed,us,us
2022-02-15T05:53:44.643Z,45.8832,-73.58,9.15,2.7,ml,,86,0.384,0.45,us,us7000gkzp,2022-04-30T14:18:14.040Z,"8 km WNW of L'Épiphanie, Canada",earthquake,4.6,8,0.062,34,reviewed,us,us
2022-02-04T05:39:25.109Z,44.3858,-71.175,8.31,2.9,mb_lg,,51,0.188,0.37,us,us7000ght9,2023-07-27T11:06:28.146Z,"0 km SSW of Gorham, New Hampshire",earthquake,3.7,5.7,0.079,42,reviewed,us,us
2022-01-11T17:52:01.033Z,45.0191,-66.973,5,2.6,ml,,168,0.135,0.9,us,us7000gbls,2022-03-19T22:07:47.040Z,"8 km SE of Saint Andrews, Canada",earthquake,1.7,2,0.069,28,reviewed,us,us
2021-12-07T10:12:11.598Z,43.3084,-70.0048,10,2.6,ml,,153,0.851,0.32,us,us6000gacb,2022-02-12T23:06:34.040Z,"38 km SE of Old Orchard Beach, Maine",earthquake,2.1,2,0.115,10,reviewed,us,us
2021-08-27T15:49:29.298Z,46.8485,-76.5006,14.41,3.3,mwr,,103,1.486,0.63,us,us7000f4w1,2021-11-06T20:29:00.040Z,"55 km NW of Saint-Boniface, Canada",earthquake,5.2,7.1,,10,reviewed,us,slm
2021-08-09T20:10:51.875Z,46.3594,-72.2706,19.97,2.7,mb_lg,,117,1.276,0.46,us,us6000f3nv,2021-10-23T15:45:58.040Z,"12 km E of Bécancour, Canada",earthquake,2.5,7.3,0.071,51,reviewed,us,us
2021-07-14T23:35:50.149Z,44.9611,-74.9924,7.06,2.8,mb_lg,,49,0.204,0.51,us,us7000em1a,2021-09-17T22:50:35.040Z,"8 km WNW of Massena, New York",earthquake,2.7,7.9,0.057,79,reviewed,us,us
